sent_bucket,pnl_count,pnl_mean,pnl_median,pnl_std,pnl_sum,pnl_to_size_mean,pnl_to_size_median,pnl_to_size_std,size_usd_count,size_usd_mean,size_usd_median,size_usd_std,size_usd_sum,fee_count,fee_mean,fee_median,fee_std,fee_sum,fee_rate_mean,fee_rate_median,fee_rate_std,is_win_mean,profit_factor
Extreme Fear,5411,47.44630214581409,0.0,1697.491620026814,256731.940911,0.008065536447368094,0.0,0.0446959526805645,5411,3816.4400979486236,625.65,18135.49960403724,20650757.37,5411,0.6914559135926815,0.108897,3.770756924185375,3741.4679484499998,0.0002248289581091617,0.00029999786238002604,0.0002126330069989062,0.8445243804956035,5.013770528354686
Extreme Greed,34393,73.14403028924491,0.0,890.6481247827655,2515642.633738,0.04237831511230485,0.0,2.0809567642973428,34393,3265.794509929346,500.37,11573.653980222536,112320470.58,34393,0.7481256386069839,0.063416,3.1800214850924404,25730.28508861,0.000516757528812933,0.00029999964710324703,0.010744570788200824,0.8847081253855212,7.3442181557222295
Fear,47315,56.54471991091619,0.0,832.6594202461938,2675413.422585,0.01604086230987777,0.0,0.08389241944703565,47315,7153.41471668604,636.82,51888.650623600115,338463817.32,47315,1.292412412774431,0.103156,8.50775952357529,61150.4933104222,0.0003479090178923876,0.0002500009550485451,0.013123344987580148,0.8520822693718372,7.145718905315621
Greed,48492,35.652183988905385,0.0,937.0213733644542,1728845.70599,0.020165629027809752,0.0,0.09816749224279234,48492,5848.453393343231,598.365,30971.11897084659,283603201.95,48492,1.273258299378745,0.088615,6.397548836342642,61742.8414534741,0.0004123132402927634,0.00024988552849786156,0.011770817399116496,0.7728440947372583,2.4829112548316896
Neutral,32246,31.74647035154748,0.0,353.1236326738833,1023696.682956,0.010038273375549406,0.0,0.18664291102089667,32246,4641.5002744526455,505.70000000000005,39027.75916018916,149669817.85,32246,0.9752948008796439,0.0784175,7.806605550925673,31449.356149165,0.00027243924703120764,0.00025,0.0026415155297996535,0.8161186898849563,7.608133955761392
Unknown,43367,48.34617467788871,0.0,1137.8201051546653,2096628.557256,0.01039299020352881,0.0,0.07302139472705746,43367,6605.9302554938085,749.58,34881.17842391772,286479377.39,43367,1.4306564119171143,0.108689,6.508823933790167,62043.2766156095,0.00021816302552257486,0.00025,0.000612792677187153,0.8482377202849644,3.8634292678359383
