sentiment_bucket,closed_pnl_count,closed_pnl_mean,closed_pnl_median,closed_pnl_sum,closed_pnl_std,is_win_mean,size_usd_mean,size_usd_median,size_usd_sum,fee_mean,fee_sum,pnl_to_size_mean,pnl_to_size_median
Extreme Fear,5411,47.44630214581409,0.0,256731.940911,1697.491620026814,0.39050083163925337,3816.4400979486236,625.65,20650757.37,0.6914559135926815,3741.4679484499998,0.008065536447368094,0.0
Extreme Greed,34393,73.14403028924491,0.0,2515642.633738,890.6481247827655,0.45872706655424067,3265.794509929346,500.37,112320470.58,0.7481256386069839,25730.28508861,0.04237831511230485,0.0
Fear,47315,56.54471991091619,0.0,2675413.422585,832.6594202461938,0.3878896755785692,7153.41471668604,636.82,338463817.32,1.292412412774431,61150.4933104222,0.01604086230987777,0.0
Greed,48492,35.652183988905385,0.0,1728845.70599,937.0213733644542,0.40307679617256453,5848.453393343231,598.365,283603201.95,1.273258299378745,61742.8414534741,0.020165629027809752,0.0
Neutral,32246,31.74647035154748,0.0,1023696.682956,353.1236326738833,0.4025925696210383,4641.5002744526455,505.70000000000005,149669817.85,0.9752948008796439,31449.356149165,0.010038273375549406,0.0
Unknown,43367,48.34617467788871,0.0,2096628.557256,1137.8201051546653,0.4173219268107086,6605.9302554938085,749.58,286479377.39,1.4306564119171143,62043.2766156095,0.01039299020352881,0.0
